AGGREGATING INTERPRO annotations
taxid	genes_aggregated	genes_in_db	\% annotated
62335	46350	53284	0.8698671270925606
4529	43545	47441	0.9178769418857107
51953	24572	26059	0.9429371810123182
296587	5866	10103	0.5806196179352667
4543	28045	38579	0.726949895020607
4686	20969	27395	0.7654316481109692
50452	20011	23286	0.8593575538950442
93759	23259	35704	0.6514396146090073
28532	26095	27396	0.9525113155205139
210143	19876	29356	0.6770677203978743
49390	23319	25574	0.9118245092672245
110835	38329	41555	0.9223679460955361
71139	30757	36349	0.8461580786266473
85681	32158	34557	0.9305784645657899
81985	25904	26521	0.9767354172165453
157791	21614	23181	0.9324015357404771
57577	32756	39943	0.8200685977517963
3988	20884	31221	0.6689087473175106
3914	24370	33860	0.7197282929710573
